Location Name,Date,Latitude,Longitude
"Reardon Lane, Calais, Washington County, Maine, 04619, United States",01/16/1951,45.1624427,-67.238369
"Belém, Região Geográfica Imediata de Belém, Região Geográfica Intermediária de Belém, Pará, Região Norte, Brasil",01/16/1958,-1.45056,-48.4682453
"Mar del Plata, Coronel Suárez, Partido de Coronel Suárez, Buenos Aires, Argentina",01/16/1959,-37.4500273,-61.939304
"Wichita, Sedgwick County, Kansas, United States",01/16/1965,37.6922361,-97.3375448
"岩国市, 山口県, 日本",01/16/1968,34.1664995,132.2191163
"Thành phố Huế, Tỉnh Thừa Thiên Huế, 54000, Việt Nam",01/16/1969,16.4639321,107.5863388
"Ankara, İç Anadolu Bölgesi, Türkiye",01/16/1983,39.7160439,32.7059948
"Cima, San Bernardino County, California, 92323, United States",01/16/1987,35.2358119,-115.501518
"Toshkent, 100000, Oʻzbekiston",01/16/1987,41.3123363,69.2787079
"Coconut Island, Poruma Island, Poruma, Torres Strait Island Regional, Queensland, Australia",01/16/1999,-10.050185599999999,143.06928125805538
"Surakarta, Kecamatan Pasar Kliwon, Jawa Tengah, Jawa, Indonesia",01/16/2002,-7.5692489,110.828448
"Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España",01/17/1923,41.3828939,2.1774322
"Civitavecchia, Roma Capitale, Lazio, 00053, Italia",01/17/1951,42.0937524,11.7922462
"Oreway, Labrador, Newfoundland and Labrador, Canada",01/17/1956,52.5684809,-65.8779818
"Great Salt Lake, Utah, United States",01/17/1963,41.1762016,-112.602336124358
"Durango, México",01/17/1965,24.833333,-104.833333
"沖洲, 行方市, 茨城県, 311-3432, 日本",01/17/1967,36.150074,140.3744117
"Minot Air Force Base, Bomber Boulevard, Ward County, North Dakota, 58704, United States",01/17/1968,48.420010950000005,-101.33720953659139
"La Paz, Pedro Domingo Murillo, La Paz, Bolivia",01/17/1989,-16.4955455,-68.1336229
"Leadville, Lake County, Colorado, 80461, United States",01/17/1990,39.2508229,-106.2925238
"काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, बाग्मती प्रदेश, 46000, नेपाल",01/17/1995,27.708317,85.3205817
"Jumla, कर्णाली प्रदेश, नेपाल",01/17/1999,29.2388968,82.19799915700634
"La Bonita, Sucumbíos, Ecuador",01/17/2002,0.4729531,-77.5460728
"Ndjolé, Moyen-Ogooué, Gabon",01/17/2003,-0.1838081,10.7658311
"London, Greater London, England, United Kingdom",01/17/2008,51.5074456,-0.1277653
"Cheyenne, Laramie County, Wyoming, United States",01/18/1923,41.139981,-104.820246
"Cove, Union County, Oregon, 97824, United States",01/18/1929,45.2965257,-117.807987
"Katherine, Town of Katherine, Northern Territory, Australia",01/18/1939,-14.4646157,132.2635993
"Cheshire, Naugatuck Valley Planning Region, Connecticut, United States",01/18/1946,41.4989861,-72.900658
